date,CHEMBL1535,CHEMBL2391146,CHEMBL4065616,CHEMBL1200574,CHEMBL1326,CHEMBL250447,CHEMBL76,CHEMBL529,CHEMBL163,CHEMBL729,CHEMBL1234886,CHEMBL65567,CHEMBL2021430,CHEMBL384467,CHEMBL1200637,CHEMBL1042,CHEMBL545,CHEMBL1222250,CHEMBL1536,CHEMBL1200633,CHEMBL221722,CHEMBL358850,CHEMBL2207138,CHEMBL196,CHEMBL408403,CHEMBL1200689,CHEMBL11298,CHEMBL501680,CHEMBL1201081,CHEMBL650,CHEMBL107,CHEMBL1229,CHEMBL674,CHEMBL985,CHEMBL112570,CHEMBL142438,CHEMBL858,CHEMBL1401,CHEMBL112,CHEMBL1410,CHEMBL1201225,CHEMBL1643,CHEMBL1789941,CHEMBL1231871,CHEMBL273453,CHEMBL12198,CHEMBL1231840,CHEMBL590799,CHEMBL2105759,CHEMBL1690,CHEMBL129,CHEMBL1448,CHEMBL1201290,CHEMBL191,CHEMBL58510,CHEMBL1214598,CHEMBL1323,CHEMBL2003538,CHEMBL71595,CHEMBL25,CHEMBL986,CHEMBL1675,CHEMBL600,CHEMBL3989740,CHEMBL1433,CHEMBL1200699,CHEMBL550495,CHEMBL191083,CHEMBL198362,CHEMBL160,CHEMBL283800,CHEMBL81379,CHEMBL635,CHEMBL424,CHEMBL1098659,CHEMBL1434513,CHEMBL1437,CHEMBL1486,CHEMBL1259059,CHEMBL2447938,CHEMBL389621,CHEMBL3,CHEMBL547,CHEMBL45,CHEMBL47,CHEMBL1088977,CHEMBL925,CHEMBL34259,CHEMBL426,CHEMBL2146126,CHEMBL592868,CHEMBL318153,CHEMBL386630,CHEMBL1201101,CHEMBL1234613,CHEMBL3989702,CHEMBL483,CHEMBL468,CHEMBL2105897,CHEMBL221959,CHEMBL1487,CHEMBL50,CHEMBL413,CHEMBL2103811,CHEMBL38,CHEMBL333950,CHEMBL34833,CHEMBL885,CHEMBL902,CHEMBL1230191,CHEMBL1017,CHEMBL2095208,CHEMBL526,CHEMBL790,CHEMBL1485,CHEMBL190461,CHEMBL660,CHEMBL657,CHEMBL1543,CHEMBL606111,CHEMBL135,CHEMBL54943,CHEMBL863,CHEMBL1162144,CHEMBL941,CHEMBL1370,CHEMBL406291,CHEMBL1622,CHEMBL2146125,CHEMBL1431,CHEMBL39,CHEMBL427526,CHEMBL521,CHEMBL231779,CHEMBL1200559,CHEMBL113150,CHEMBL409,CHEMBL3182320,CHEMBL1082407,CHEMBL103,CHEMBL1293,CHEMBL131,CHEMBL567597,CHEMBL19019,CHEMBL1393,CHEMBL1741,CHEMBL90,CHEMBL302239,CHEMBL3707348,CHEMBL1161632,CHEMBL4297349,CHEMBL4297088,CHEMBL1628,CHEMBL275330,CHEMBL1525826,CHEMBL542581,CHEMBL932,CHEMBL17157,CHEMBL253376,CHEMBL814,CHEMBL1064,CHEMBL1184,CHEMBL667,CHEMBL778,CHEMBL2106041,CHEMBL1225,CHEMBL655,CHEMBL1200420,CHEMBL222813,CHEMBL1673195,CHEMBL79,CHEMBL1140,CHEMBL1620,CHEMBL2028850,CHEMBL1139,CHEMBL1545,CHEMBL8085,CHEMBL877,CHEMBL67166,CHEMBL2040682,CHEMBL1069,CHEMBL3183968,CHEMBL1200995,CHEMBL161,CHEMBL1201187,CHEMBL2374220,CHEMBL633,CHEMBL1083993,CHEMBL1163,CHEMBL2023898,CHEMBL3544909,CHEMBL250450,CHEMBL477,CHEMBL2107011,CHEMBL787,CHEMBL438497,CHEMBL1223,CHEMBL1353,CHEMBL1947204,CHEMBL2158685
2019-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,2,2,4,2,1,0,0,0,9,6,1,1,1,1,1,0,0,0,0,0,1,0,0,2,0,2,0,0,1,1,0,3,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,40,10,9,4,18,18,18,13,8,10,5,6,2,2,2,1,3,3,1,0,2,2,1,4,5,4,2,1,1,1,5,2,2,1,1,1,1,0,0,0,0,0,0,1,1,2,0,1,1,2,2,0,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,125,45,25,22,50,50,50,48,36,37,14,13,4,4,4,8,8,5,8,6,10,9,4,12,11,6,7,6,8,8,7,9,9,4,5,3,2,8,5,2,5,2,13,2,3,5,1,4,8,4,5,1,2,5,8,3,3,2,2,4,2,2,0,2,2,2,2,2,2,0,1,3,0,0,2,3,3,3,1,4,2,0,3,1,0,3,2,1,1,1,3,2,1,1,0,2,2,3,1,1,1,0,2,1,2,0,0,2,1,2,4,1,3,0,0,0,0,2,0,0,2,1,1,0,3,3,1,1,0,0,0,2,2,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,1,0,0,1,1,2,1,0,1,0,2,1,3,1,1,3,1,0,0,0,0,0,0,0,1,1,0,3,2,2,0,0,2,1,1,1,0,1,3,3,1,0,1,0,0,0,0,0,1,0,3,0
2020-05-01,42,27,14,14,22,22,22,19,21,22,16,15,2,2,2,14,8,10,12,15,12,3,9,5,12,9,8,6,5,5,2,6,6,4,6,2,5,3,6,4,4,4,3,1,3,1,4,1,4,4,0,1,1,3,1,1,4,2,2,3,2,2,1,3,3,3,2,2,0,1,1,4,2,2,2,3,3,1,0,2,0,2,3,2,1,1,3,0,0,2,1,4,2,2,1,1,1,4,0,2,2,2,1,1,2,1,1,1,1,3,0,3,0,0,1,0,3,2,1,1,0,2,2,1,1,0,2,0,0,0,0,3,3,0,1,1,1,1,0,1,3,0,2,0,1,1,1,0,1,0,0,1,1,1,0,1,4,0,2,0,1,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,1,2,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,2
2020-06-01,26,8,4,7,12,11,11,11,5,5,12,9,4,4,3,5,3,4,5,10,6,6,4,1,2,2,5,2,1,1,1,1,1,3,1,2,1,4,2,6,2,1,2,4,1,2,2,3,1,1,1,1,3,1,1,0,2,2,0,1,0,0,2,2,2,2,0,0,1,2,1,0,2,2,1,3,3,0,1,1,0,1,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0
2020-07-01,10,10,11,9,1,1,1,1,6,6,6,4,7,7,7,7,4,3,7,1,2,5,3,4,0,4,0,2,4,4,2,1,1,1,1,2,1,2,3,0,3,3,1,1,0,1,1,1,0,2,1,0,1,0,0,1,1,2,1,2,0,0,2,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,3,1,0,1,1,0,0,1,1,2,0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,2
2020-08-01,10,11,10,5,5,5,5,5,5,5,6,8,7,7,7,5,3,7,5,5,3,1,1,2,4,1,1,5,3,2,4,3,3,0,0,0,1,1,1,0,2,1,0,0,3,0,3,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,3,1,0,0,1,0,1,0,0,1,4,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020-09-01,6,9,3,4,2,2,2,0,1,1,6,3,2,2,2,1,2,2,0,1,3,2,4,4,0,2,2,1,1,1,0,1,1,4,0,3,0,3,0,0,1,2,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,3,1,1,1,2,2,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
2020-10-01,7,7,13,5,3,3,3,3,4,3,6,5,8,8,8,3,5,4,2,2,2,2,1,1,6,6,2,1,1,1,2,0,0,1,4,1,3,1,0,1,1,1,1,1,3,0,2,2,1,3,0,2,1,1,0,0,0,0,3,0,1,1,0,3,3,3,0,0,1,3,1,1,1,1,0,0,0,1,0,0,1,3,1,0,1,1,1,1,1,1,0,0,2,2,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2020-11-01,5,9,4,6,2,2,2,5,2,2,5,5,5,5,5,5,1,4,5,3,3,3,3,1,4,1,2,2,2,2,0,1,1,3,0,0,2,0,1,0,0,1,0,0,1,0,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,1,0,1,1,1,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-12-01,8,4,11,4,2,2,2,4,3,3,3,2,3,3,3,1,3,3,1,4,1,3,7,2,0,0,2,2,2,2,2,0,0,2,0,1,0,0,1,2,0,1,0,3,1,2,1,3,1,0,0,0,0,0,0,2,0,0,2,0,1,1,0,1,1,1,0,0,2,0,2,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,7,7,6,1,2,2,2,2,4,4,1,3,4,4,4,3,3,4,3,6,1,1,5,2,1,1,5,1,1,1,1,1,1,1,2,3,0,0,0,2,2,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,3,2,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,3,1,1,0,1,0,0,2,1,1,0,0,1,0,0,2,2,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2021-02-01,4,6,6,9,0,0,0,2,1,1,3,2,8,8,8,6,5,4,5,5,0,4,2,3,2,1,1,2,2,2,2,0,0,1,1,3,0,0,3,2,1,1,0,0,0,1,1,1,0,0,3,2,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
2021-03-01,2,6,5,7,0,0,0,0,0,0,3,3,6,6,6,4,2,4,4,2,1,3,2,5,1,4,1,2,2,2,0,0,0,2,2,3,1,1,0,0,1,0,0,2,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,2,0,0,0,2,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2021-04-01,2,3,5,5,2,2,2,1,3,2,5,2,4,4,4,3,6,2,3,1,4,2,1,1,0,2,2,3,1,1,1,0,0,0,2,1,1,0,1,0,2,1,0,2,0,2,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-05-01,1,5,4,4,0,0,0,0,1,0,10,2,5,5,5,0,8,1,0,4,1,2,1,1,0,1,2,0,1,1,0,0,0,0,2,1,2,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,3,3,5,5,2,2,2,2,1,1,2,1,2,2,2,3,1,3,3,3,3,2,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,3,0,5,6,0,0,0,1,4,1,1,1,3,3,3,3,4,2,3,1,1,2,1,0,0,0,0,1,0,0,0,1,1,1,0,0,2,1,0,2,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
